"Year","Month","TotalTrips","Nights","Expenditure","Avg Stay Length","Avergae Expenditure per Trip","Average Expenditure per Night","Religious","Leisure","Business","Visiting","Other Purpose","GCC","MiddleEast","Africa","Asia","Europe","America","Other Country","Assir","Baha","Eastern Province","Hail","Jizan","Jour","Madina","Makkah","Najran","Northerm","Qassim","Riyadh","Tabuk","Air","Lang","Sea","Hotels","Apartments","Private","Other Residance"
"2015","Jan","2,247","22,786","8,943","10","3,980","392","1,189","270","22","476","290","843","596","105","553","144","7","0","34","0","439","4","8","2","46","1,231","8","207","4","82","181","1,165","1,075","7","1,051","729","408","59"
"2015","Feb","1,704","18,623","8,073","11","4,737","433","1,102","174","40","242","145","489","326","81","571","216","21","2","3","1","265","1","5","2","17","1,260","4","84","7","47","9","1,187","512","6","1,175","317","181","32"
"2015","Mar","1,533","14,685","6,690","10","4,363","456","978","139","36","208","172","547","284","87","433","161","20","0","5","1","259","5","7","2","28","1,091","2","71","1","55","5","1,012","517","4","995","286","188","64"
"2015","Apr","1,574","16,834","6,174","11","3,923","367","912","94","11","205","352","528","311","117","512","100","6","1","0","1","476","3","0","2","11","952","1","79","3","39","8","1,081","491","2","838","320","379","37"
"2015","May","1,396","12,500","5,686","9","4,072","455","589","111","179","254","263","589","224","58","391","117","17","0","2","0","452","5","1","1","10","637","0","70","3","211","5","925","469","2","702","328","335","32"
"2015","Jun","1,535","15,702","7,478","10","4,873","476","702","100","289","263","180","672","289","114","342","103","15","0","0","0","374","4","0","4","17","768","0","63","4","295","8","1,074","459","2","922","309","276","28"
"2015","Jul","1,348","12,010","7,811","9","5,792","650","570","114","192","248","224","712","225","95","229","71","16","0","0","0","438","2","0","1","13","605","0","80","1","196","13","832","514","2","624","356","327","41"
"2015","Aug","1,056","8,584","4,712","8","4,462","549","156","113","198","381","208","591","161","21","193","55","35","0","10","2","380","4","0","1","32","327","0","71","4","201","24","587","468","1","376","274","383","23"
"2015","Sep","2,073","35,420","10,609","17","5,118","300","1,406","135","166","202","164","457","230","299","864","194","27","1","4","0","345","3","0","2","17","1,423","0","70","7","191","12","1,628","430","14","1,187","486","235","165"
"2015","Oct","769","7,464","3,658","10","4,754","490","8","110","225","274","152","369","94","25","216","48","17","0","1","0","379","5","0","4","60","29","0","32","2","245","12","415","355","0","240","219","278","33"
"2015","Nov","911","8,294","4,036","9","4,430","487","184","90","253","271","113","407","135","24","236","58","40","12","1","0","255","3","0","4","28","358","0","20","3","228","12","614","296","2","414","199","252","45"
"2015","Dec","1,847","20,181","8,630","11","4,673","428","1,016","111","268","321","131","496","363","113","682","114","64","15","0","0","336","5","0","6","30","1,180","0","45","2","233","11","1,448","393","6","912","539","339","57"
"2016","Jan","1,896","18,009","8,799","9","4,640","489","990","151","279","302","175","599","429","103","549","164","46","6","0","0","434","3","0","6","25","1,114","1","51","1","251","12","1,333","550","13","1,086","445","330","36"
"2016","Feb","2,343","21,860","10,578","9","4,514","484","873","168","563","390","350","573","547","154","849","161","53","7","2","0","640","3","0","6","45","1,101","0","49","4","487","7","1,832","499","13","1,223","495","564","62"
"2016","Mar","1,709","17,463","9,552","10","5,589","547","1,065","101","288","196","60","335","397","155","580","171","62","8","0","0","225","3","0","7","21","1,192","1","14","2","238","6","1,346","348","15","1,051","387","231","41"
"2016","Apr","1,580","16,778","6,592","11","4,174","393","967","85","290","186","51","383","344","139","562","116","28","6","0","0","263","1","0","5","14","1,052","0","24","2","212","6","1,271","300","8","775","576","216","12"
"2016","May","1,507","14,496","7,164","10","4,755","494","740","86","342","280","59","369","325","121","473","99","50","68","0","0","309","1","0","5","27","882","0","29","3","244","6","1,161","338","7","704","507","287","9"
"2016","Jun","1,710","14,602","8,442","9","4,937","578","919","120","274","284","113","420","348","242","476","130","71","23","0","0","373","0","0","3","11","1,053","0","34","1","234","1","1,270","426","14","761","625","291","33"
"2016","Jul","813","5,936","2,823","7","3,474","476","32","94","274","326","86","400","96","18","132","67","69","31","0","0","318","1","0","2","29","164","0","40","3","226","30","420","393","0","295","195","281","42"
"2016","Aug","986","12,148","3,209","12","3,255","264","49","114","251","493","80","417","110","15","182","79","127","56","1","0","316","2","0","6","95","339","0","27","3","173","23","608","376","2","305","189","454","37"
"2016","Sep","1,970","38,270","17,433","19","8,847","456","1,327","104","225","267","47","351","218","307","810","219","53","13","0","0","293","1","0","1","38","1,410","0","33","1","178","15","1,584","374","13","1,371","278","222","99"
"2016","Oct","462","2,851","1,746","6","3,777","612","14","75","170","165","37","244","39","9","95","37","25","13","1","0","208","0","0","3","6","83","0","17","4","132","9","233","229","0","191","112","153","7"
"2016","Nov","847","6,205","4,685","7","5,533","755","390","64","189","166","37","261","48","24","393","54","49","17","0","0","196","0","0","3","2","467","0","17","3","147","12","636","211","0","583","108","150","7"
"2016","Dec","2,221","18,608","12,399","8","5,583","666","892","98","861","234","136","371","106","230","1,222","210","70","13","0","0","357","0","0","2","9","1,093","0","26","5","721","7","1,897","319","5","1,720","193","292","15"
"2017","Jan","1,505","12,736","6,404","8","4,256","503","841","94","251","254","65","427","195","95","572","128","68","21","0","0","319","0","1","3","3","943","0","32","4","191","9","1,072","427","6","993","282","216","15"
"2017","Feb","1,301","12,705","6,084","10","4,678","479","755","74","210","221","41","300","176","88","528","124","65","20","0","0","238","0","0","2","3","857","0","22","6","167","6","993","304","3","861","241","192","6"
"2017","Mar","1,485","15,686","8,979","11","6,045","572","936","69","225","218","37","308","213","149","621","124","54","17","0","0","230","1","0","6","4","1,022","0","23","4","189","7","1,152","330","4","999","292","188","6"
"2017","Apr","1,791","16,345","8,235","9","4,597","504","1,238","82","213","220","37","324","522","122","603","134","74","13","0","0","245","0","0","8","2","1,334","0","21","6","169","6","1,469","319","4","1,250","342","182","17"
"2017","May","1,589","15,195","8,355","10","5,259","550","1,017","77","233","221","40","322","338","208","536","113","55","18","1","0","242","1","0","11","5","1,115","0","25","5","177","9","1,279","302","8","849","547","185","8"
"2017","Jun","1,351","12,114","6,399","9","4,737","528","808","78","185","243","38","381","229","186","404","76","57","17","0","0","263","1","0","3","1","890","0","20","7","161","5","986","351","15","809","317","205","20"
"2017","Jul","452","2,130","1,782","5","3,943","837","34","72","140","173","33","284","33","7","83","26","16","3","0","0","214","1","0","4","3","87","0","21","7","108","8","207","245","0","179","109","150","15"
"2017","Aug","551","3,346","2,336","6","4,238","698","32","92","178","205","44","340","44","9","94","26","27","10","0","0","244","2","0","3","7","122","0","35","7","123","9","259","291","2","191","143","187","31"
"2017","Sep","2,190","45,881","28,363","21","12,949","618","1,755","57","193","172","14","281","258","373","1,132","110","35","1","0","0","227","1","0","1","2","1,772","0","6","5","159","16","1,844","331","15","1,689","312","140","49"
"2017","Oct","680","5,633","3,169","8","4,659","562","233","50","157","208","33","258","70","12","274","37","23","7","0","0","198","1","0","4","3","322","0","21","4","113","13","463","216","1","395","94","185","6"
"2017","Nov","1,833","17,679","10,445","10","5,699","591","723","56","556","458","41","261","78","113","1,198","137","39","7","0","0","370","0","5","5","24","1,078","0","22","6","314","8","1,597","232","3","1,309","118","403","3"
"2017","Dec","1,381","11,586","7,228","8","5,234","624","915","54","156","224","32","296","102","126","719","114","21","2","0","0","211","2","0","5","6","991","0","21","7","129","10","1,124","250","7","1,075","121","183","2"
"2018","Jan","1,391","11,257","6,113","8","4,395","543","817","82","236","218","37","355","153","78","561","162","81","1","10","1","231","1","1","7","3","916","13","25","8","161","13","1,048","338","5","1,028","158","163","42"
"2018","Feb","1,182","9,667","6,000","8","5,076","621","751","55","211","136","29","231","144","83","518","138","68","1","3","0","177","2","1","6","2","770","1","18","7","184","11","955","220","7","940","116","105","21"
"2018","Mar","1,496","17,043","6,865","11","4,588","403","1,022","60","187","196","32","252","206","160","639","163","75","1","3","0","190","1","7","6","3","1,092","0","22","3","163","7","1,222","270","4","1,019","278","168","32"
"2018","Apr","1,511","14,069","5,688","9","3,764","404","1,045","64","186","185","31","249","334","139","611","123","54","1","1","0","197","0","1","7","1","1,122","0","18","5","152","6","1,255","246","9","1,028","290","161","33"
"2018","May","1,619","16,287","6,732","10","4,157","413","1,090","66","210","218","35","288","316","273","548","104","91","1","0","0","212","1","0","10","3","1,191","0","24","4","166","7","1,333","274","13","870","535","187","27"
"2018","Jun","1,070","9,302","4,462","9","4,172","480","478","78","204","270","39","357","96","115","311","61","129","1","2","0","260","1","0","3","1","581","0","20","7","190","5","740","317","13","556","244","227","43"
"2018","Jul","641","3,332","2,657","5","4,146","797","35","80","256","236","34","333","42","9","96","32","128","1","1","0","256","1","0","4","2","106","0","23","8","231","9","347","293","1","284","126","197","33"
"2018","Aug","2,444","49,562","30,479","20","12,473","615","1,791","99","245","262","47","391","248","359","1,154","128","163","0","36","1","252","2","0","3","5","1,900","0","38","8","188","9","2,032","393","18","1,760","374","199","110"
"2018","Sep","509","2,720","2,303","5","4,521","847","92","46","217","143","12","231","49","13","145","31","40","1","6","0","190","1","0","1","1","94","0","5","4","192","14","316","193","0","285","74","112","37"
"2018","Oct","903","8,850","5,492","10","6,082","621","515","65","170","124","28","271","82","15","444","81","9","0","2","0","209","1","0","3","7","557","0","16","5","92","11","669","234","0","633","169","83","18"
"2018","Nov","1,141","14,707","7,933","13","6,954","539","720","69","145","167","40","289","134","59","559","82","17","1","26","0","192","0","0","4","5","755","0","21","7","118","11","926","215","0","840","155","93","53"
"2018","Dec","1,427","17,132","8,753","12","6,134","511","937","112","182","150","46","364","153","104","618","133","54","1","9","0","235","2","1","3","14","951","0","24","9","174","6","1,136","285","6","1,053","222","122","30"
"2019","Jan","1,653","14,339","7,982","9","4,828","557","973","100","253","262","66","413","329","86","571","145","89","20","0","1","269","1","2","6","5","1,035","5","36","12","269","13","1,248","398","7","1,142","285","211","15"
"2019","Feb","1,492","13,385","6,775","9","4,541","506","918","90","226","207","51","357","258","86","555","157","63","16","3","0","222","1","7","2","3","996","1","24","11","212","8","1,193","290","9","1,129","186","171","6"
"2019","Mar","1,599","16,688","6,762","10","4,228","405","1,044","41","238","223","54","296","300","170","617","112","84","21","2","0","204","2","3","2","4","1,145","0","24","6","204","3","1,341","251","7","1,208","160","222","9"
"2019","Apr","1,650","15,236","6,211","9","3,763","408","1,036","72","266","221","55","307","328","156","603","162","75","19","1","0","213","0","3","5","1","1,113","0","25","7","278","3","1,388","249","13","1,242","199","193","17"
"2019","May","2,079","19,757","10,167","10","4,889","515","1,380","87","267","281","64","329","447","360","663","128","135","17","0","0","240","1","0","4","10","1,507","0","27","4","280","7","1,758","289","33","1,495","296","252","36"
"2019","Jun","903","6,898","4,056","8","4,489","588","246","80","278","250","49","295","73","34","270","62","151","20","0","0","228","1","0","2","1","342","0","26","6","294","4","650","246","7","523","156","212","12"
"2019","Jul","750","4,857","3,363","6","4,485","693","43","87","328","211","80","291","156","8","153","51","68","23","0","0","253","1","0","6","7","165","0","49","8","239","21","469","280","1","390","154","182","25"
"2019","Aug","2,675","52,342","34,911","20","13,053","667","1,881","111","410","204","70","350","304","383","1,270","206","136","26","13","0","322","5","0","6","7","1,981","0","36","11","274","20","2,277","380","18","2,040","399","180","56"
"2019","Sep","635","4,104","3,145","6","4,952","767","147","32","231","178","47","213","74","10","212","50","56","19","1","0","219","1","0","3","1","167","0","19","7","208","9","432","203","0","402","78","146","10"
"2019","Oct","1,119","11,081","5,199","10","4,647","469","555","95","225","197","47","256","96","21","562","137","27","18","2","0","238","1","0","2","5","645","0","18","20","179","9","888","229","2","835","132","150","2"
"2019","Nov","1,234","13,247","5,334","11","4,322","403","671","104","211","208","40","259","139","80","601","101","34","19","1","0","224","0","0","3","7","752","0","18","8","215","6","1,019","215","0","909","160","161","4"
"2019","Dec","1,735","17,103","9,448","10","5,445","552","964","229","232","268","41","367","283","109","652","187","101","37","1","0","267","1","0","3","4","1,139","0","18","11","282","8","1,417","315","3","1,173","181","376","5"
"2020","Jan","1,737","16,211","8,806","9","5,070","543","911","189","222","327","87","407","361","97","567","188","79","37","0","0","312","0","4","11","5","954","5","26","8","407","4","1,342","388","7","1,249","201","275","12"
"2020","Feb","1,483","15,528","8,010","10","5,402","516","828","170","159","257","68","391","244","86","513","192","30","27","12","1","251","5","0","2","5","887","3","19","14","280","4","1,190","289","4","1,072","184","222","5"
"2020","Mar","192","1,296","796","7","4,153","614","8","18","78","62","25","55","42","7","45","17","20","5","0","0","66","2","4","1","1","17","0","6","11","79","4","141","50","0","108","23","59","2"
"2020","Apr","27","71","64","3","2,354","902","0","0","19","0","7","1","11","0","15","0","0","0","0","0","8","0","0","0","0","2","0","2","0","15","0","24","3","0","24","3","1","0"
"2020","May","19","49","48","3","2,543","969","0","0","11","1","7","2","9","0","7","0","1","0","0","0","4","0","0","0","0","1","0","2","0","11","0","15","4","0","15","2","1","0"
"2020","Jun","35","99","84","3","2,382","846","0","1","24","1","9","3","17","0","13","0","1","0","0","0","8","0","0","0","0","3","0","4","0","19","1","28","7","0","29","4","2","0"
